Overview

Overview                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
IMPROVE Data Use: For journal publications, please inform Loretta Wilson (loretta.wilson@colostate.edu) of the planned publication. Drafts of publications will be reviewed upon request for issues that could affect the data interpretation. Preferred Reference: Please reference the Malm,et al. (1994) article below when using IMPROVE data. Malm, W. C., J. F. Sisler, D. Huffman, R. A. Eldred, and T. A. Cahill (1994), Spatial and seasonal trends in particle concentration and optical extinction in the United States, J. Geophys. Res., 99, 1347-1370. Preferred Acknowledgment: IMPROVE is a collaborative association of state, tribal, and federal agencies, and international partners. US Environmental Protection Agency is the primary funding source, with contracting and research support from the National Park Service. The Air Quality Group at the University of California, Davis is the central analytical laboratory, with ion analysis provided by Research Triangle Institute, and carbon analysis provided by Desert Research Institute.
(Also: Prior to use, all data users are encouraged to review the IMPROVE data advisories located on the IMPROVE website: http://vista.cira.colostate.edu/IMPROVE/Data/QA_QC/Advisory.htm)  

Datasets

Dataset          Code      StartDate             EndDate                Frequency  NumRecords  
IMPROVE Aerosol  IMPFSPED  3/2/1988 12:00:00 AM  4/28/2017 12:00:00 AM  Daily      25066383    

Sites

Site         Code   Dataset   State  County  Latitude  Longitude   Elevation  StartDate   EndDate     NumPOCs  
Big Bend NP  BIBE1  IMPFSPED  TX     48043   29.30270  -103.17800  1066       03/02/1988  06/30/2017  2        

Parameters

DatasetID  Parameter                       Code      AQSCode  Units      Description                                                                                                                                                                                                                                                                                                                                                                                                          
10001      Ammonium Nitrate (Fine)         ammNO3f   88344    ug/m^3 LC  -999                                                                                                                                                                                                                                                                                                                                                                                                                 
10001      Ammonium Sulfate (Fine)         ammSO4f   88339    ug/m^3 LC  If particulate Sulfur (Sf) is non-null, then ammSO4f is calculated as 4.125 * Sulfur.  Otherwise, it is calculated as 1.375 * Sulfate (SO4f).  If the concentration of the base parameter (Sf or SO4f) is below the minimum detection limit, then 0.5 * MDL is used.  (NOTE:  The calculation procedure for RHR datasets differs from this. Please see the RHR guidance documents detailed calculation procedures.)  
10001      Carbon, Elemental Total (Fine)  ECf       88307    ug/m^3 LC  From TOR carbon fractions (E1+E2+E3-OP)                                                                                                                                                                                                                                                                                                                                                                              
10001      Carbon, Organic Total (Fine)    OCf       88320    ug/m^3 LC  From TOR carbon fractions (OC1+OC2+OC3+OC4+OP)                                                                                                                                                                                                                                                                                                                                                                       
10001      Mass, PM2.5 (Fine)              MF        88101    ug/m^3 LC  Gravimetric fine mass                                                                                                                                                                                                                                                                                                                                                                                                
10001      Sea Salt (Fine)                 SeaSaltf  88395    ug/m^3 LC  1.8 x [Chloride], or 1.8 x [Chlorine] if the chloride measurement is below detection limits, missing or invalid.                                                                                                                                                                                                                                                                                                     
10001      Soil (Fine)                     SOILf     88348    ug/m^3 LC  -999                                                                                                                                                                                                                                                                                                                                                                                                                 

Site History

History  Dataset   EntryType    EntryDate   Description                                                               
BIBE1    IMPFSPED  Method       06/28/1994  Changed nylon filter size from 47mm diameter to 25mm                      
BIBE1    IMPFSPED  Method       06/28/1994  Changed nylon filter size from 47mm diameter to 25mm                      
BIBE1    IMPFSPED  Operational  09/04/1994  A1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  09/04/1994  B1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  09/04/1994  C1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  09/04/1994  D1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  09/04/1994  Routine annual maintenance                                                
BIBE1    IMPFSPED  Operational  09/04/1994  A1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  09/04/1994  B1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  09/04/1994  C1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  09/04/1994  D1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  09/04/1994  Routine annual maintenance                                                
BIBE1    IMPFSPED  Event        04/19/1995  Severe dust storms this week                                              
BIBE1    IMPFSPED  Event        04/19/1995  Severe dust storms this week                                              
BIBE1    IMPFSPED  Event        05/06/1995  Very windy and dusty on on this date                                      
BIBE1    IMPFSPED  Event        05/06/1995  Very windy and dusty on on this date                                      
BIBE1    IMPFSPED  Operational  05/20/1995  A1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  05/20/1995  B1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  05/20/1995  C1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  05/20/1995  D1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  05/20/1995  A1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  05/20/1995  B1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  05/20/1995  C1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  05/20/1995  D1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  07/30/1996  A1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  07/30/1996  A1 Module pump Replaced                                                   
BIBE1    IMPFSPED  Method       07/30/1996  Added glycerin to Module B1 denuder                                       
BIBE1    IMPFSPED  Operational  07/30/1996  B1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  07/30/1996  B1 Module pump Replaced                                                   
BIBE1    IMPFSPED  Operational  07/30/1996  C1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  07/30/1996  C1 Module pump Replaced                                                   
BIBE1    IMPFSPED  Operational  07/30/1996  D1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  07/30/1996  D1 Module pump Replaced                                                   
BIBE1    IMPFSPED  Operational  07/30/1996  Routine annual maintenance                                                
BIBE1    IMPFSPED  Operational  07/30/1996  A1 Module Flow Calibration                                                
BIBE1    IMPFSPED  Operational  07/30/1996  A1 Module pump Replaced                                                   
